이찬인, 175, 110
하감원, 140, 90
김우원, 172, 60
추강찬, 145, 69
박찬희, 179, 95
고우석, 139, 75
하흥훈, 161, 56
추미원, 188, 59
박강희, 160, 59
하감민, 158, 96
강지훈, 158, 64
하흥희, 166, 57
고성성, 138, 82
정정성, 153, 110
정미훈, 140, 77
강강성, 194, 101
권우원, 182, 75
강감성, 151, 101
정감찬, 179, 104
추흥석, 164, 79
권인석, 142, 61
이지원, 152, 73
고우성, 136, 45
정감성, 162, 72
박우찬, 156, 103
권성희, 175, 99
강감민, 146, 49
추우원, 194, 58
권감성, 199, 46
이미성, 143, 101
권인훈, 175, 47
추정성, 130, 59
고강호, 177, 89
하흥성, 140, 42
권인석, 183, 111
권인인, 182, 40
추인민, 190, 64
이우민, 191, 77
강미희, 150, 104
하정훈, 184, 46
고지호, 185, 104
정인민, 160, 119
고감성, 144, 102
강강원, 171, 63
추찬성, 182, 41
정정석, 169, 97
이우민, 188, 81
강성원, 183, 76
김인인, 175, 88
추성호, 170, 55
고강석, 163, 119
하지인, 146, 64
강강민, 198, 113
김우희, 142, 81
정정석, 157, 54
박지민, 131, 103
강지훈, 196, 103
하지민, 146, 113
서인인, 176, 70
권미석, 175, 62
김찬석, 192, 44
이미성, 198, 101
하성훈, 191, 95
권미호, 182, 82
고감인, 171, 52
권인석, 131, 57
서흥성, 199, 85
추성훈, 161, 45
하감찬, 174, 56
정우호, 180, 86
이정희, 171, 111
추흥인, 185, 48
김우찬, 153, 117
권감원, 179, 53
추지호, 145, 40
추지훈, 143, 83
김성원, 164, 81
김미석, 131, 83
서강희, 168, 95
김성원, 131, 91
서지성, 188, 102
강미찬, 181, 109
권감성, 192, 84
하미성, 163, 116
추인원, 148, 41
정우호, 149, 59
추정석, 187, 104
고미찬, 196, 88
서우훈, 148, 94
김우인, 168, 93
추강호, 185, 83
강강성, 135, 99
정찬성, 169, 53
박흥원, 188, 89
박강성, 158, 74
권정찬, 167, 89
김성성, 191, 66
박흥성, 135, 78
이인인, 151, 83
정감원, 171, 79
강강원, 138, 72
박흥훈, 143, 112
정찬호, 166, 47
추인찬, 149, 42
권지석, 193, 47
서우석, 145, 46
추찬인, 133, 50
이지성, 190, 66
정감인, 193, 101
하감호, 174, 73
정지호, 192, 86
이우성, 181, 61
이정성, 186, 94
김감인, 185, 78
정미민, 168, 64
고인원, 130, 117
하우성, 199, 66
이강희, 131, 89
박정석, 164, 87
정정인, 156, 107
강강민, 195, 88
하정호, 138, 60
정정원, 192, 49
고감희, 187, 107
박미석, 191, 43
이지성, 191, 89
강정원, 143, 99
박성훈, 189, 91
권우민, 162, 80
하정희, 162, 66
박미훈, 131, 112
강흥인, 158, 93
하감원, 178, 62
박감훈, 149, 83
강정희, 185, 46
이흥희, 170, 100
서감민, 166, 66
권정성, 132, 59
하정훈, 147, 98
박성인, 190, 89
서미석, 161, 112
고우훈, 169, 104
이미호, 141, 55
김지호, 155, 71
강인호, 143, 53
정지호, 190, 72
김지민, 151, 96
이찬성, 177, 66
권강희, 131, 100
서인민, 187, 89
이인찬, 132, 84
이흥인, 152, 81
고성인, 185, 99
하지성, 161, 86
이감호, 141, 86
서성희, 131, 110
강감성, 147, 116
이강훈, 183, 100
추정민, 153, 94
서강훈, 164, 97
정찬성, 177, 107
하정민, 143, 82
이지성, 150, 104
박찬원, 171, 78
박우훈, 190, 81
김인희, 130, 69
권강성, 137, 68
추미훈, 193, 119
이미석, 144, 78
서찬인, 168, 98
서미원, 132, 88
정강석, 165, 57
박성성, 189, 86
서지성, 140, 65
정정호, 168, 85
정성인, 154, 66
고정호, 160, 75
고흥석, 179, 72
이미성, 150, 96
정인성, 176, 112
추강원, 141, 77
이지인, 151, 104
권강성, 185, 83
박인찬, 163, 82
고미호, 175, 113
하강성, 163, 55
하인훈, 171, 88
추지석, 191, 47
정성호, 170, 110
서강희, 153, 77
이정호, 185, 85
김찬민, 187, 103
김흥석, 163, 79
정성인, 160, 67
정인민, 171, 50
권인인, 173, 84
하인원, 155, 114
강강민, 151, 70
이지희, 180, 84
김정찬, 189, 93
이정성, 171, 87
박찬희, 136, 40
권정석, 170, 57
박흥원, 186, 108
박감석, 194, 80
하미찬, 172, 94
김우성, 198, 101
추인성, 163, 98
이감희, 164, 98
권인성, 171, 49
하정호, 170, 117
하인성, 176, 84
추우석, 131, 70
고성인, 179, 60
김인석, 173, 46
박인훈, 140, 62
정감민, 153, 56
권찬호, 179, 97
권강찬, 148, 72
고미성, 143, 88
추성석, 173, 58
서미민, 162, 87
고감석, 152, 108
강감원, 154, 119
강강희, 198, 55
이찬훈, 169, 87
강감민, 187, 83
박인찬, 152, 80
서우석, 173, 40
고미훈, 182, 104
